idCliente,nombre,apellido,email,telefono,fechaNac,estado
69,Mateo,Stanganelli,MateoStanganelli@bolandia.iri,976-476-3485,20-11-1964,0
70,Roberta,Giménez,RobertaGiménez@bolandia.iri,625-283-0261,20-10-1970,-11704
71,Facundo,Bustos,FacundoBustos@bolandia.iri,200-273-8460,23-11-1971,12307
72,Gonzalo,Hernández,GonzaloHernández@bolandia.iri,222-396-6424,07-07-1972,0
73,Carolina,Cáceres,CarolinaCáceres@bolandia.iri,943-916-4439,15-10-1999,-4774
74,Roberta,Pacheco,RobertaPacheco@bolandia.iri,243-184-3239,30-04-1969,1302
75,Brenda,Delgado,BrendaDelgado@bolandia.iri,453-620-6342,04-02-1987,459
76,Lautaro,Gutiérrez,LautaroGutiérrez@bolandia.iri,273-660-4313,21-07-1966,14093
77,Maximiliano,Bianchi,MaximilianoBianchi@bolandia.iri,481-936-1426,14-07-1960,-492
78,Hugo,Valdez,HugoValdez@bolandia.iri,914-366-9424,10-12-2003,0
79,Juana,Martínez,JuanaMartínez@bolandia.iri,298-832-3784,03-01-1970,-11374
80,Leandro,Almada,LeandroAlmada@bolandia.iri,594-268-0593,19-11-2005,0
81,Joaquín,Zamora,JoaquínZamora@bolandia.iri,337-824-1812,06-10-1973,0
82,Ignacio,Urrutia,IgnacioUrrutia@bolandia.iri,153-484-0227,18-11-1984,4268
83,Victoria,Navarro,VictoriaNavarro@bolandia.iri,321-714-7727,04-10-1987,0
84,Leandro,Gutiérrez,LeandroGutiérrez@bolandia.iri,105-589-6009,26-01-2004,0
85,Federico,Benítez,FedericoBenítez@bolandia.iri,357-750-5583,20-04-1995,0
86,Valeria,Vega,ValeriaVega@bolandia.iri,590-187-7607,26-08-1956,0
87,Florencia,Almada,FlorenciaAlmada@bolandia.iri,298-253-4463,10-09-1998,0
88,Sebastián,Valdez,SebastiánValdez@bolandia.iri,434-133-4769,20-07-1976,0
89,Mía,Escobar,MíaEscobar@bolandia.iri,151-588-2128,12-02-1998,0
90,Alejandro,Pacheco,AlejandroPacheco@bolandia.iri,625-718-5792,02-08-1997,-13735
91,Federico,Ocampo,FedericoOcampo@bolandia.iri,114-459-6544,13-09-1998,0
92,Delfina,Herrera,DelfinaHerrera@bolandia.iri,285-602-9790,06-11-1972,7037
93,Facundo,Zarate,FacundoZarate@bolandia.iri,958-797-3415,10-01-1957,0
94,Hugo,Iriarte,HugoIriarte@bolandia.iri,427-657-9426,03-04-1987,0
95,Roberta,Vargas,RobertaVargas@bolandia.iri,232-107-9776,28-09-1995,2052
96,Joaquín,Quintero,JoaquínQuintero@bolandia.iri,934-411-2597,31-05-1974,0
97,Victoria,Acosta,VictoriaAcosta@bolandia.iri,606-868-0810,27-09-1975,4726
98,Thiago,Gómez,ThiagoGómez@bolandia.iri,238-415-7948,05-08-1953,0
99,Alejandro,Molina,AlejandroMolina@bolandia.iri,614-922-3490,11-04-1980,0
100,Benjamín,Paz,BenjamínPaz@bolandia.iri,380-149-9069,10-02-1990,0
101,Roberta,Ocampo,RobertaOcampo@bolandia.iri,263-142-2425,25-10-1990,0
102,Emilio,Arias,EmilioArias@bolandia.iri,808-611-0547,15-08-1978,0
103,Matías,Santos,MatíasSantos@bolandia.iri,278-595-7937,20-10-1955,-5311
104,Abril,Tovar,AbrilTovar@bolandia.iri,944-827-3204,16-03-2000,0
105,Lautaro,Lanaro,LautaroLanaro@bolandia.iri,363-362-2439,14-06-1999,0
106,Facundo,Soto,FacundoSoto@bolandia.iri,776-438-0728,03-05-1990,0
107,Isabella,Aldet,IsabellaAldet@bolandia.iri,129-144-2220,14-10-2010,8646
108,Nicolás,Vega,NicolásVega@bolandia.iri,588-207-9167,11-05-1972,0
109,Ulises,Vega,UlisesVega@bolandia.iri,938-712-4156,14-05-1971,-5406
110,Lucía,Urrutia,LucíaUrrutia@bolandia.iri,518-458-4805,25-05-1999,0
111,Mía,Lanaro,MíaLanaro@bolandia.iri,117-884-3114,18-08-1986,0
112,Martina,Iglesias,MartinaIglesias@bolandia.iri,611-745-3962,25-02-1965,14376
113,Sofía,Romero,SofíaRomero@bolandia.iri,283-452-0545,23-07-2006,0
114,Emma,Quevedo,EmmaQuevedo@bolandia.iri,322-836-1466,06-10-1958,0
115,Thiago,Gómez,ThiagoGómez@bolandia.iri,242-707-5537,16-01-1975,11217
116,Delfina,Godoy,DelfinaGodoy@bolandia.iri,708-913-9677,18-01-1984,13259
117,Pilar,Castro,PilarCastro@bolandia.iri,620-201-7421,05-11-1986,0
118,Mía,Maldonado,MíaMaldonado@bolandia.iri,903-909-8086,01-02-1963,0
119,Matías,Bianchi,MatíasBianchi@bolandia.iri,865-903-5350,23-04-1970,0
120,Nicolás,Jiménez,NicolásJiménez@bolandia.iri,431-598-0011,28-10-1970,7488
121,Joaquín,Rodríguez,JoaquínRodríguez@bolandia.iri,681-445-1688,03-08-1972,2206
122,Roberta,Kramer,RobertaKramer@bolandia.iri,277-223-1670,29-10-1999,-13440
123,Valentina,Ibarra,ValentinaIbarra@bolandia.iri,524-232-9674,02-04-1953,-8576
124,Florencia,Romero,FlorenciaRomero@bolandia.iri,701-262-9258,08-09-1958,0
125,Juana,Stanganelli,JuanaStanganelli@bolandia.iri,623-663-9317,01-12-1964,0
126,Maximiliano,Klein,MaximilianoKlein@bolandia.iri,417-204-2478,20-08-1966,-6952
127,Abril,Pacheco,AbrilPacheco@bolandia.iri,223-463-8279,08-03-1985,0
128,Ramiro,Moreno,RamiroMoreno@bolandia.iri,289-453-7955,31-08-1991,0
129,Brenda,Navarro,BrendaNavarro@bolandia.iri,167-126-8231,27-07-1988,0
130,Agustín,López,AgustínLópez@bolandia.iri,163-528-5251,31-05-1985,-14596
131,Maximiliano,Tovar,MaximilianoTovar@bolandia.iri,624-201-9885,25-09-1993,-914
132,Juan,Ríos,JuanRíos@bolandia.iri,417-647-9614,10-08-1962,4519
133,Roberta,Figueroa,RobertaFigueroa@bolandia.iri,268-573-3926,19-06-2009,0
134,Nicolás,Jara,NicolásJara@bolandia.iri,316-403-5498,17-01-2006,-9942
135,Rocío,Ramos,RocíoRamos@bolandia.iri,748-179-7059,12-05-1992,0
136,Tomás,Fernández,TomásFernández@bolandia.iri,972-676-4205,10-11-1983,0
137,Matías,Martínez,MatíasMartínez@bolandia.iri,888-414-3387,20-03-1979,0
138,Renata,Cáceres,RenataCáceres@bolandia.iri,255-257-3834,06-04-1999,0
139,Emma,Ojeda,EmmaOjeda@bolandia.iri,926-333-4477,22-11-1970,0
140,Alejandro,Quintero,AlejandroQuintero@bolandia.iri,244-461-0321,03-09-2010,-9736
141,Florencia,Vargas,FlorenciaVargas@bolandia.iri,933-237-8890,24-04-1957,0
142,Emilio,Herrera,EmilioHerrera@bolandia.iri,132-687-8087,29-02-2000,0
143,Lautaro,Dominguez,LautaroDominguez@bolandia.iri,563-927-1133,22-06-1977,0
144,Lucía,Aguirre,LucíaAguirre@bolandia.iri,895-917-8354,31-01-1978,0
145,Lucas,Wagner,LucasWagner@bolandia.iri,925-280-0173,19-11-1996,0
146,Emilio,Campo,EmilioCampo@bolandia.iri,144-398-0874,15-02-1951,0
147,Hugo,Ortega,HugoOrtega@bolandia.iri,706-204-6892,25-07-1996,-5600
148,Joaquín,Gómez,JoaquínGómez@bolandia.iri,680-434-4835,24-07-1953,0
149,Gonzalo,Zarate,GonzaloZarate@bolandia.iri,675-943-6266,06-08-1992,11438
150,Martina,Giménez,MartinaGiménez@bolandia.iri,255-747-4256,05-07-1980,11087
151,Gabriel,Hernández,GabrielHernández@bolandia.iri,718-838-0288,30-12-2006,-3957
152,Lucas,Rocha,LucasRocha@bolandia.iri,376-251-5602,18-03-1982,2061
153,Florencia,Kramer,FlorenciaKramer@bolandia.iri,945-469-5864,13-07-1969,0
154,Camila,Urbano,CamilaUrbano@bolandia.iri,416-181-9439,13-09-1969,-2161
155,Pilar,Escobar,PilarEscobar@bolandia.iri,843-359-0285,14-11-1963,0
156,Hugo,Yáñez,HugoYáñez@bolandia.iri,406-465-2342,29-03-1969,0
157,María,Díaz,MaríaDíaz@bolandia.iri,490-735-0987,18-01-1983,-8413
158,Camila,Ferrari,CamilaFerrari@bolandia.iri,370-538-0922,01-12-1973,0
159,Federico,Cáceres,FedericoCáceres@bolandia.iri,873-677-1476,25-05-1965,0
160,Camila,Guerra,CamilaGuerra@bolandia.iri,140-360-3110,22-01-2004,0
161,Luna,López,LunaLópez@bolandia.iri,216-188-4156,31-08-1977,5957
162,Agustín,Ocampo,AgustínOcampo@bolandia.iri,798-591-2670,24-10-1990,0
163,Alejandro,Ramos,AlejandroRamos@bolandia.iri,399-986-0903,27-10-1950,-6629
164,Catalina,Luna,CatalinaLuna@bolandia.iri,239-825-0020,10-08-1972,-8334
165,Ulises,Navarro,UlisesNavarro@bolandia.iri,563-670-1794,29-09-1995,-9456
166,Luna,Acosta,LunaAcosta@bolandia.iri,876-543-9662,19-02-1990,0
167,Lucas,Zapata,LucasZapata@bolandia.iri,919-426-1213,27-09-1988,-9395
168,Hugo,López,HugoLópez@bolandia.iri,933-187-6442,27-03-1977,9057
169,Thiago,Yáñez,ThiagoYáñez@bolandia.iri,189-478-5575,10-11-1961,0
170,María,Torres,MaríaTorres@bolandia.iri,541-946-8409,19-07-1950,-5810
171,Emma,Ríos,EmmaRíos@bolandia.iri,966-764-8247,06-09-1951,0
172,Pilar,Gómez,PilarGómez@bolandia.iri,555-786-5537,09-02-1966,-8307
173,Mía,Delgado,MíaDelgado@bolandia.iri,193-823-6988,03-10-1971,-7748
174,Hugo,Toro,HugoToro@bolandia.iri,521-301-1851,24-11-1977,-12409
175,Lautaro,Núñez,LautaroNúñez@bolandia.iri,721-317-8777,13-07-1969,5329
176,Sofía,Cabrera,SofíaCabrera@bolandia.iri,724-830-4758,25-10-1972,0
177,Mateo,Giménez,MateoGiménez@bolandia.iri,309-794-7663,12-02-1957,-13383
178,Florencia,Godoy,FlorenciaGodoy@bolandia.iri,379-154-7068,11-05-1974,0
179,Emma,Wagner,EmmaWagner@bolandia.iri,605-169-8307,19-11-1973,5602
180,Renata,Díaz,RenataDíaz@bolandia.iri,937-670-4754,01-06-1953,0
181,Martina,Toro,MartinaToro@bolandia.iri,194-508-2791,19-10-1965,0
182,Carolina,Espinosa,CarolinaEspinosa@bolandia.iri,518-854-3343,02-11-1962,-2205
183,Celeste,Almada,CelesteAlmada@bolandia.iri,907-446-2886,24-06-1966,-5100
184,Antonella,Peralta,AntonellaPeralta@bolandia.iri,903-163-7528,16-06-1990,0
185,Santiago,Iriarte,SantiagoIriarte@bolandia.iri,609-977-2815,19-03-1987,0
186,Nicolás,González,NicolásGonzález@bolandia.iri,964-113-5931,03-12-1952,-12502
187,Santiago,Pacheco,SantiagoPacheco@bolandia.iri,622-714-1460,08-12-1959,0
188,Celeste,Ibarra,CelesteIbarra@bolandia.iri,403-693-6746,12-06-1958,-7593
189,Luna,Flores,LunaFlores@bolandia.iri,516-199-1084,07-08-1955,-14566
190,Juana,Wagner,JuanaWagner@bolandia.iri,920-219-1367,23-09-1974,0
191,Martina,Valdez,MartinaValdez@bolandia.iri,863-747-8686,15-09-1953,-8923
192,Agustín,Villalba,AgustínVillalba@bolandia.iri,655-940-9095,29-11-2007,-11156
193,Renata,Valdez,RenataValdez@bolandia.iri,175-316-0111,07-03-1969,0
194,Agustín,Juárez,AgustínJuárez@bolandia.iri,607-262-8614,31-08-2002,0
195,Catalina,Luna,CatalinaLuna@bolandia.iri,634-447-2089,03-04-2008,-6279
196,Abril,Kramer,AbrilKramer@bolandia.iri,282-918-3547,28-02-1994,0
197,Camila,Ramírez,CamilaRamírez@bolandia.iri,282-820-7098,13-12-1986,0
198,Sebastián,González,SebastiánGonzález@bolandia.iri,489-869-1213,29-08-1988,0
199,Santiago,Paz,SantiagoPaz@bolandia.iri,797-588-2423,26-08-1976,0
200,Brenda,Xavier,BrendaXavier@bolandia.iri,606-466-5419,28-01-2004,0
201,Juan,Dominguez,JuanDominguez@bolandia.iri,526-266-8646,03-04-1963,7508
202,Federico,Valdez,FedericoValdez@bolandia.iri,725-616-5338,12-07-1990,-2666
203,Ramiro,García,RamiroGarcía@bolandia.iri,182-154-4715,21-10-1996,-11334
204,Rocío,García,RocíoGarcía@bolandia.iri,582-581-0648,12-04-2002,-12240
205,Daniela,Villalba,DanielaVillalba@bolandia.iri,898-325-5935,27-09-1989,0
206,Mateo,Torres,MateoTorres@bolandia.iri,844-131-1318,08-01-1995,0
207,Renata,Nieves,RenataNieves@bolandia.iri,490-169-7475,15-07-1979,5616
208,Thiago,Benítez,ThiagoBenítez@bolandia.iri,496-472-4389,29-09-1989,0
209,Antonella,Yáñez,AntonellaYáñez@bolandia.iri,939-935-7629,02-07-1953,14813
210,Federico,Navarro,FedericoNavarro@bolandia.iri,729-489-6773,05-09-1974,0
211,Brenda,Peralta,BrendaPeralta@bolandia.iri,242-957-7848,18-09-1995,12511
212,Martina,Yáñez,MartinaYáñez@bolandia.iri,457-568-2534,30-08-2002,0
213,Martina,Kramer,MartinaKramer@bolandia.iri,881-860-3358,24-04-1960,-14068
214,Daniela,Toro,DanielaToro@bolandia.iri,490-170-0202,07-01-1974,0
215,Valeria,Vega,ValeriaVega@bolandia.iri,520-868-3687,13-02-1997,0
216,Luna,Soto,LunaSoto@bolandia.iri,651-812-4868,11-09-2002,0
217,Roberta,Santos,RobertaSantos@bolandia.iri,784-857-7771,15-08-1966,0
218,Juana,Gómez,JuanaGómez@bolandia.iri,326-677-2164,26-01-1979,-10072
219,Lautaro,Quiroga,LautaroQuiroga@bolandia.iri,897-239-5997,10-10-1951,0
220,Benjamín,Quevedo,BenjamínQuevedo@bolandia.iri,837-979-8704,05-07-1965,4966
221,Abril,González,AbrilGonzález@bolandia.iri,886-469-8440,18-08-1960,0
222,Pilar,Hernández,PilarHernández@bolandia.iri,774-380-5244,15-01-1994,0
223,Lucía,López,LucíaLópez@bolandia.iri,747-734-9535,23-10-1995,3745
224,Brenda,Benítez,BrendaBenítez@bolandia.iri,481-633-8551,29-04-1965,0
225,Renata,Jara,RenataJara@bolandia.iri,345-504-7638,08-10-1971,0
226,Ulises,Paz,UlisesPaz@bolandia.iri,954-519-8962,06-07-1994,-12190
227,Emilio,Silva,EmilioSilva@bolandia.iri,374-453-2217,19-02-1985,-7890
228,Gabriel,Mendoza,GabrielMendoza@bolandia.iri,671-616-8080,21-05-1990,-14091
229,Emma,Pérez,EmmaPérez@bolandia.iri,872-713-4094,03-04-1977,0
230,Emma,Jiménez,EmmaJiménez@bolandia.iri,164-413-0647,21-07-2005,-9456
231,Celeste,Arias,CelesteArias@bolandia.iri,136-820-1064,27-03-1968,0
232,Renata,Moreno,RenataMoreno@bolandia.iri,921-511-4597,13-12-1983,-12810
233,Victoria,Jiménez,VictoriaJiménez@bolandia.iri,787-356-6709,24-12-1973,0
234,Facundo,Fernández,FacundoFernández@bolandia.iri,839-934-6779,20-02-1965,0
235,Emilio,Zapata,EmilioZapata@bolandia.iri,799-840-5319,03-06-1978,0
236,Luna,Sánchez,LunaSánchez@bolandia.iri,979-951-9778,18-06-1994,0
237,Pilar,Pérez,PilarPérez@bolandia.iri,728-476-2800,11-02-1986,-448
238,Juana,Nieves,JuanaNieves@bolandia.iri,490-145-6963,26-01-1977,2655
239,Lautaro,Espinosa,LautaroEspinosa@bolandia.iri,551-365-2763,04-03-2010,5306
240,Thiago,Zamora,ThiagoZamora@bolandia.iri,444-788-2499,12-06-1985,3611
241,Daniela,Núñez,DanielaNúñez@bolandia.iri,839-496-0463,16-12-1984,0
242,Tomás,Xavier,TomásXavier@bolandia.iri,918-113-8873,10-01-1974,0
243,Leandro,Cortez,LeandroCortez@bolandia.iri,350-747-5969,01-07-2003,0
244,Martina,López,MartinaLópez@bolandia.iri,353-465-1499,30-08-1954,-2975
245,Alejandro,Hernández,AlejandroHernández@bolandia.iri,737-864-7974,16-04-1961,0
246,Sofía,Gómez,SofíaGómez@bolandia.iri,585-333-1513,29-09-1962,9230
247,Juan,Ramos,JuanRamos@bolandia.iri,591-139-4590,19-09-1998,0
248,Gabriel,Gómez,GabrielGómez@bolandia.iri,127-838-3644,13-11-1987,-10510
249,Ignacio,Stanganelli,IgnacioStanganelli@bolandia.iri,166-901-5871,21-02-2006,-13287
250,Daniela,Stanganelli,DanielaStanganelli@bolandia.iri,316-269-7442,23-08-1968,-9735
